customerid,customername,customersegment,country,city
2663,Customer 2663,Segment A,Country C,City B
2664,Customer 2664,Segment A,Country B,City A
2665,Customer 2665,Segment C,Country A,City C
2666,Customer 2666,Segment B,Country B,City B
2667,Customer 2667,Segment A,Country C,City D
2668,Customer 2668,Segment A,Country C,City E
2669,Customer 2669,Segment A,Country B,City B
2670,Customer 2670,Segment A,Country B,City E
2671,Customer 2671,Segment A,Country B,City C
2672,Customer 2672,Segment A,Country A,City C
2673,Customer 2673,Segment C,Country C,City B
2674,Customer 2674,Segment B,Country B,City A
2675,Customer 2675,Segment B,Country B,City C
2676,Customer 2676,Segment A,Country A,City E
2677,Customer 2677,Segment B,Country C,City E
2678,Customer 2678,Segment A,Country C,City C
2679,Customer 2679,Segment C,Country B,City B
2680,Customer 2680,Segment B,Country A,City C
2681,Customer 2681,Segment A,Country A,City A
2682,Customer 2682,Segment A,Country B,City D
2683,Customer 2683,Segment B,Country A,City D
2684,Customer 2684,Segment B,Country A,City E
2685,Customer 2685,Segment B,Country C,City B
2686,Customer 2686,Segment B,Country A,City A
2687,Customer 2687,Segment B,Country C,City E
2688,Customer 2688,Segment C,Country C,City E
2689,Customer 2689,Segment B,Country C,City E
2690,Customer 2690,Segment A,Country C,City A
2691,Customer 2691,Segment B,Country B,City D
2692,Customer 2692,Segment B,Country B,City A
2693,Customer 2693,Segment B,Country A,City E
2694,Customer 2694,Segment C,Country C,City D
2695,Customer 2695,Segment A,Country A,City C
2696,Customer 2696,Segment B,Country B,City C
2697,Customer 2697,Segment C,Country A,City D
2698,Customer 2698,Segment C,Country C,City B
2699,Customer 2699,Segment B,Country C,City A
2700,Customer 2700,Segment B,Country A,City E
2701,Customer 2701,Segment A,Country C,City D
2702,Customer 2702,Segment C,Country A,City A
2703,Customer 2703,Segment C,Country B,City A
2704,Customer 2704,Segment C,Country B,City B
2705,Customer 2705,Segment B,Country B,City E
2706,Customer 2706,Segment B,Country B,City C
2707,Customer 2707,Segment C,Country C,City B
2708,Customer 2708,Segment A,Country A,City E
2709,Customer 2709,Segment B,Country C,City D
2710,Customer 2710,Segment A,Country A,City E
2711,Customer 2711,Segment C,Country C,City E
2712,Customer 2712,Segment B,Country C,City D
2713,Customer 2713,Segment C,Country A,City C
2714,Customer 2714,Segment B,Country C,City A
2715,Customer 2715,Segment A,Country A,City A
2716,Customer 2716,Segment B,Country B,City E
2717,Customer 2717,Segment A,Country B,City D
2718,Customer 2718,Segment C,Country A,City C
2719,Customer 2719,Segment C,Country B,City C
2720,Customer 2720,Segment C,Country A,City C
2721,Customer 2721,Segment B,Country C,City D
2722,Customer 2722,Segment A,Country C,City E
2723,Customer 2723,Segment C,Country B,City C
2724,Customer 2724,Segment A,Country A,City A
2725,Customer 2725,Segment C,Country C,City B
2726,Customer 2726,Segment A,Country C,City D
2727,Customer 2727,Segment C,Country C,City E
2728,Customer 2728,Segment C,Country A,City A
2729,Customer 2729,Segment B,Country B,City D
2730,Customer 2730,Segment A,Country C,City D
2731,Customer 2731,Segment C,Country C,City E
2732,Customer 2732,Segment B,Country B,City E
2733,Customer 2733,Segment C,Country A,City E
2734,Customer 2734,Segment C,Country C,City B
2735,Customer 2735,Segment A,Country C,City C
2736,Customer 2736,Segment C,Country C,City A
2737,Customer 2737,Segment C,Country A,City C
2738,Customer 2738,Segment B,Country B,City C
2739,Customer 2739,Segment C,Country B,City A
2740,Customer 2740,Segment B,Country C,City D
2741,Customer 2741,Segment A,Country B,City C
2742,Customer 2742,Segment A,Country A,City B
2743,Customer 2743,Segment B,Country B,City D
2744,Customer 2744,Segment C,Country B,City A
2745,Customer 2745,Segment B,Country A,City A
2746,Customer 2746,Segment A,Country B,City B
2747,Customer 2747,Segment A,Country A,City C
2748,Customer 2748,Segment C,Country B,City A
2749,Customer 2749,Segment A,Country B,City D
2750,Customer 2750,Segment C,Country C,City E
2751,Customer 2751,Segment B,Country A,City B
2752,Customer 2752,Segment C,Country B,City E
2753,Customer 2753,Segment A,Country A,City A
2754,Customer 2754,Segment A,Country B,City A
2755,Customer 2755,Segment A,Country B,City A
2756,Customer 2756,Segment B,Country B,City D
2757,Customer 2757,Segment B,Country B,City E
2758,Customer 2758,Segment A,Country A,City E
2759,Customer 2759,Segment C,Country A,City D
2760,Customer 2760,Segment B,Country B,City B
2761,Customer 2761,Segment A,Country C,City D
2762,Customer 2762,Segment A,Country C,City D
2763,Customer 2763,Segment C,Country A,City E
2764,Customer 2764,Segment C,Country A,City C
2765,Customer 2765,Segment A,Country A,City A
2766,Customer 2766,Segment A,Country B,City E
2767,Customer 2767,Segment A,Country C,City D
2768,Customer 2768,Segment A,Country A,City C
2769,Customer 2769,Segment B,Country A,City D
2770,Customer 2770,Segment B,Country C,City E
2771,Customer 2771,Segment A,Country A,City A
2772,Customer 2772,Segment C,Country B,City E
2773,Customer 2773,Segment B,Country A,City C
2774,Customer 2774,Segment A,Country B,City A
2775,Customer 2775,Segment C,Country B,City E
2776,Customer 2776,Segment C,Country B,City C
2777,Customer 2777,Segment A,Country B,City C
2778,Customer 2778,Segment B,Country A,City A
2779,Customer 2779,Segment A,Country C,City B
2780,Customer 2780,Segment B,Country C,City A
2781,Customer 2781,Segment C,Country B,City D
2782,Customer 2782,Segment B,Country A,City A
2783,Customer 2783,Segment B,Country C,City E
2784,Customer 2784,Segment B,Country B,City E
2785,Customer 2785,Segment C,Country A,City B
2786,Customer 2786,Segment C,Country C,City B
2787,Customer 2787,Segment A,Country C,City E
2788,Customer 2788,Segment C,Country B,City D
2789,Customer 2789,Segment B,Country A,City B
2790,Customer 2790,Segment C,Country B,City C
2791,Customer 2791,Segment C,Country A,City D
2792,Customer 2792,Segment B,Country B,City C
2793,Customer 2793,Segment A,Country B,City D
2794,Customer 2794,Segment A,Country A,City E
2795,Customer 2795,Segment B,Country A,City D
2796,Customer 2796,Segment A,Country B,City C
2797,Customer 2797,Segment A,Country A,City C
2798,Customer 2798,Segment B,Country B,City B
2799,Customer 2799,Segment A,Country A,City E
2800,Customer 2800,Segment A,Country B,City D
2801,Customer 2801,Segment B,Country C,City D
2802,Customer 2802,Segment C,Country A,City D
2803,Customer 2803,Segment B,Country C,City B
2804,Customer 2804,Segment B,Country A,City A
2805,Customer 2805,Segment B,Country B,City D
2806,Customer 2806,Segment C,Country B,City D
2807,Customer 2807,Segment B,Country B,City D
2808,Customer 2808,Segment B,Country C,City B
2809,Customer 2809,Segment C,Country A,City D
2810,Customer 2810,Segment B,Country C,City C
2811,Customer 2811,Segment C,Country C,City C
2812,Customer 2812,Segment C,Country A,City C
2813,Customer 2813,Segment A,Country C,City D
2814,Customer 2814,Segment A,Country B,City B
2815,Customer 2815,Segment C,Country B,City B
2816,Customer 2816,Segment A,Country B,City E
2817,Customer 2817,Segment C,Country C,City B
2818,Customer 2818,Segment C,Country A,City C
2819,Customer 2819,Segment C,Country B,City C
2820,Customer 2820,Segment C,Country C,City B
2821,Customer 2821,Segment A,Country A,City D
2822,Customer 2822,Segment A,Country A,City B
2823,Customer 2823,Segment A,Country A,City E
2824,Customer 2824,Segment A,Country C,City B
2825,Customer 2825,Segment B,Country A,City B
2826,Customer 2826,Segment A,Country B,City C
2827,Customer 2827,Segment B,Country C,City B
2828,Customer 2828,Segment C,Country C,City C
2829,Customer 2829,Segment B,Country A,City A
2830,Customer 2830,Segment C,Country A,City C
2831,Customer 2831,Segment A,Country C,City D
2832,Customer 2832,Segment C,Country C,City C
2833,Customer 2833,Segment B,Country A,City B
2834,Customer 2834,Segment C,Country C,City D
2835,Customer 2835,Segment B,Country A,City E
2836,Customer 2836,Segment C,Country B,City A
2837,Customer 2837,Segment B,Country A,City E
2838,Customer 2838,Segment B,Country C,City A
2839,Customer 2839,Segment C,Country A,City A
2840,Customer 2840,Segment B,Country B,City D
2841,Customer 2841,Segment B,Country C,City C
2842,Customer 2842,Segment A,Country B,City A
2843,Customer 2843,Segment A,Country A,City A
2844,Customer 2844,Segment A,Country A,City C
2845,Customer 2845,Segment A,Country B,City D
2846,Customer 2846,Segment A,Country B,City C
2847,Customer 2847,Segment B,Country C,City C
2848,Customer 2848,Segment C,Country C,City D
2849,Customer 2849,Segment C,Country C,City C
2850,Customer 2850,Segment A,Country C,City E
2851,Customer 2851,Segment C,Country B,City E
2852,Customer 2852,Segment A,Country A,City B
2853,Customer 2853,Segment C,Country B,City B
2854,Customer 2854,Segment A,Country A,City D
2855,Customer 2855,Segment A,Country C,City B
2856,Customer 2856,Segment A,Country A,City E
2857,Customer 2857,Segment A,Country A,City A
2858,Customer 2858,Segment A,Country A,City D
2859,Customer 2859,Segment C,Country C,City E
2860,Customer 2860,Segment A,Country A,City A
2861,Customer 2861,Segment A,Country A,City D
2862,Customer 2862,Segment B,Country C,City C
2863,Customer 2863,Segment B,Country A,City B
2864,Customer 2864,Segment C,Country C,City E
2865,Customer 2865,Segment A,Country B,City E
2866,Customer 2866,Segment C,Country B,City B
2867,Customer 2867,Segment B,Country A,City E
2868,Customer 2868,Segment C,Country A,City D
2869,Customer 2869,Segment B,Country C,City E
2870,Customer 2870,Segment C,Country A,City D
2871,Customer 2871,Segment B,Country A,City A
2872,Customer 2872,Segment A,Country B,City A
2873,Customer 2873,Segment A,Country B,City B
2874,Customer 2874,Segment B,Country B,City D
2875,Customer 2875,Segment A,Country A,City B
2876,Customer 2876,Segment C,Country A,City B
2877,Customer 2877,Segment A,Country C,City A
2878,Customer 2878,Segment A,Country C,City D
2879,Customer 2879,Segment B,Country C,City D
2880,Customer 2880,Segment B,Country A,City D
2881,Customer 2881,Segment A,Country C,City B
2882,Customer 2882,Segment B,Country C,City D
2883,Customer 2883,Segment C,Country B,City E
2884,Customer 2884,Segment A,Country C,City E
2885,Customer 2885,Segment B,Country C,City C
2886,Customer 2886,Segment B,Country A,City E
2887,Customer 2887,Segment C,Country A,City E
2888,Customer 2888,Segment B,Country C,City C
2889,Customer 2889,Segment C,Country A,City C
2890,Customer 2890,Segment A,Country B,City D
2891,Customer 2891,Segment B,Country A,City A
2892,Customer 2892,Segment C,Country C,City D
2893,Customer 2893,Segment C,Country C,City A
2894,Customer 2894,Segment A,Country C,City B
2895,Customer 2895,Segment B,Country C,City C
2896,Customer 2896,Segment C,Country A,City A
2897,Customer 2897,Segment C,Country C,City D
2898,Customer 2898,Segment B,Country B,City D
2899,Customer 2899,Segment B,Country C,City C
2900,Customer 2900,Segment A,Country B,City E
2901,Customer 2901,Segment A,Country B,City E
2902,Customer 2902,Segment B,Country B,City D
2903,Customer 2903,Segment B,Country C,City C
2904,Customer 2904,Segment A,Country B,City B
2905,Customer 2905,Segment A,Country B,City C
2906,Customer 2906,Segment B,Country C,City E
2907,Customer 2907,Segment A,Country B,City D
2908,Customer 2908,Segment B,Country C,City E
2909,Customer 2909,Segment B,Country A,City B
2910,Customer 2910,Segment B,Country B,City E
2911,Customer 2911,Segment B,Country A,City A
2912,Customer 2912,Segment C,Country A,City A
2913,Customer 2913,Segment A,Country A,City D
2914,Customer 2914,Segment A,Country B,City D
2915,Customer 2915,Segment B,Country A,City B
2916,Customer 2916,Segment C,Country C,City C
2917,Customer 2917,Segment C,Country A,City C
2918,Customer 2918,Segment A,Country C,City D
2919,Customer 2919,Segment B,Country A,City B
2920,Customer 2920,Segment A,Country C,City D
2921,Customer 2921,Segment A,Country A,City D
2922,Customer 2922,Segment B,Country C,City C
2923,Customer 2923,Segment C,Country A,City D
2924,Customer 2924,Segment B,Country B,City D
2925,Customer 2925,Segment C,Country B,City C
2926,Customer 2926,Segment C,Country B,City C
2927,Customer 2927,Segment B,Country C,City E
2928,Customer 2928,Segment C,Country A,City E
2929,Customer 2929,Segment B,Country A,City A
2930,Customer 2930,Segment A,Country A,City A
2931,Customer 2931,Segment C,Country A,City B
2932,Customer 2932,Segment C,Country A,City D
2933,Customer 2933,Segment A,Country A,City E
2934,Customer 2934,Segment C,Country B,City B
2935,Customer 2935,Segment B,Country B,City E
2936,Customer 2936,Segment A,Country A,City A
2937,Customer 2937,Segment C,Country C,City C
2938,Customer 2938,Segment B,Country A,City D
2939,Customer 2939,Segment B,Country B,City D
2940,Customer 2940,Segment C,Country B,City C
2941,Customer 2941,Segment C,Country B,City B
2942,Customer 2942,Segment C,Country B,City D
2943,Customer 2943,Segment C,Country C,City D
2944,Customer 2944,Segment B,Country A,City E
2945,Customer 2945,Segment B,Country C,City B
2946,Customer 2946,Segment C,Country C,City E
2947,Customer 2947,Segment C,Country B,City D
2948,Customer 2948,Segment C,Country A,City E
2949,Customer 2949,Segment C,Country B,City A
2950,Customer 2950,Segment A,Country B,City C
2951,Customer 2951,Segment B,Country C,City A
2952,Customer 2952,Segment B,Country B,City A
2953,Customer 2953,Segment B,Country A,City D
2954,Customer 2954,Segment C,Country C,City A
2955,Customer 2955,Segment C,Country C,City B
2956,Customer 2956,Segment A,Country A,City B
2957,Customer 2957,Segment B,Country C,City B
2958,Customer 2958,Segment B,Country A,City C
2959,Customer 2959,Segment B,Country B,City E
2960,Customer 2960,Segment B,Country A,City B
2961,Customer 2961,Segment A,Country B,City A
2962,Customer 2962,Segment A,Country B,City E
2963,Customer 2963,Segment C,Country A,City A
2964,Customer 2964,Segment B,Country C,City C
2965,Customer 2965,Segment C,Country C,City D
2966,Customer 2966,Segment A,Country A,City D
2967,Customer 2967,Segment C,Country A,City A
2968,Customer 2968,Segment B,Country A,City C
2969,Customer 2969,Segment B,Country C,City A
2970,Customer 2970,Segment A,Country B,City B
2971,Customer 2971,Segment A,Country A,City A
2972,Customer 2972,Segment C,Country B,City D
2973,Customer 2973,Segment B,Country A,City B
2974,Customer 2974,Segment A,Country B,City C
2975,Customer 2975,Segment C,Country B,City A
2976,Customer 2976,Segment A,Country B,City C
2977,Customer 2977,Segment A,Country A,City B
2978,Customer 2978,Segment B,Country A,City D
2979,Customer 2979,Segment C,Country A,City E
2980,Customer 2980,Segment B,Country C,City A
2981,Customer 2981,Segment B,Country A,City C
2982,Customer 2982,Segment A,Country C,City D
2983,Customer 2983,Segment B,Country A,City E
2984,Customer 2984,Segment C,Country B,City A
2985,Customer 2985,Segment C,Country B,City D
2986,Customer 2986,Segment C,Country A,City A
2987,Customer 2987,Segment B,Country B,City B
2988,Customer 2988,Segment A,Country B,City D
2989,Customer 2989,Segment C,Country C,City B
2990,Customer 2990,Segment C,Country B,City C
2991,Customer 2991,Segment C,Country C,City B
2992,Customer 2992,Segment A,Country A,City B
2993,Customer 2993,Segment C,Country B,City A
2994,Customer 2994,Segment C,Country C,City A
2995,Customer 2995,Segment B,Country B,City C
2996,Customer 2996,Segment C,Country C,City B
2997,Customer 2997,Segment A,Country B,City A
2998,Customer 2998,Segment B,Country B,City B
2999,Customer 2999,Segment A,Country A,City A
3000,Customer 3000,Segment C,Country C,City C
3001,Customer 3001,Segment B,Country C,City C
3002,Customer 3002,Segment A,Country B,City B
3003,Customer 3003,Segment B,Country B,City E
3004,Customer 3004,Segment A,Country B,City D
3005,Customer 3005,Segment C,Country C,City D
3006,Customer 3006,Segment B,Country C,City C
3007,Customer 3007,Segment A,Country A,City D
3008,Customer 3008,Segment A,Country C,City C
3009,Customer 3009,Segment A,Country C,City B
3010,Customer 3010,Segment B,Country B,City A
3011,Customer 3011,Segment B,Country A,City B
3012,Customer 3012,Segment C,Country C,City D
3013,Customer 3013,Segment A,Country A,City E
3014,Customer 3014,Segment C,Country B,City A
3015,Customer 3015,Segment A,Country A,City C
3016,Customer 3016,Segment C,Country A,City E
3017,Customer 3017,Segment A,Country B,City A
3018,Customer 3018,Segment A,Country C,City E
3019,Customer 3019,Segment A,Country C,City A
3020,Customer 3020,Segment C,Country B,City A
3021,Customer 3021,Segment C,Country A,City D
3022,Customer 3022,Segment A,Country A,City D
3023,Customer 3023,Segment A,Country A,City C
3024,Customer 3024,Segment C,Country C,City C
3025,Customer 3025,Segment A,Country B,City A
3026,Customer 3026,Segment C,Country C,City C
3027,Customer 3027,Segment A,Country B,City B
3028,Customer 3028,Segment A,Country C,City C
3029,Customer 3029,Segment A,Country C,City D
3030,Customer 3030,Segment A,Country A,City D
3031,Customer 3031,Segment A,Country C,City C
3032,Customer 3032,Segment B,Country C,City D
3033,Customer 3033,Segment C,Country C,City E
3034,Customer 3034,Segment C,Country A,City D
3035,Customer 3035,Segment A,Country A,City B
3036,Customer 3036,Segment A,Country B,City D
3037,Customer 3037,Segment C,Country C,City A
3038,Customer 3038,Segment A,Country C,City D
3039,Customer 3039,Segment A,Country A,City E
3040,Customer 3040,Segment A,Country A,City A
3041,Customer 3041,Segment B,Country C,City C
3042,Customer 3042,Segment A,Country B,City B
3043,Customer 3043,Segment B,Country C,City B
3044,Customer 3044,Segment B,Country B,City A
3045,Customer 3045,Segment A,Country B,City B
3046,Customer 3046,Segment A,Country C,City E
3047,Customer 3047,Segment C,Country B,City A
3048,Customer 3048,Segment A,Country B,City E
3049,Customer 3049,Segment A,Country C,City A
3050,Customer 3050,Segment A,Country B,City C
3051,Customer 3051,Segment B,Country C,City B
3052,Customer 3052,Segment B,Country C,City A
3053,Customer 3053,Segment C,Country B,City E
3054,Customer 3054,Segment A,Country C,City E
3055,Customer 3055,Segment A,Country C,City A
3056,Customer 3056,Segment A,Country B,City C
3057,Customer 3057,Segment B,Country A,City E
3058,Customer 3058,Segment B,Country A,City D
3059,Customer 3059,Segment B,Country C,City E
3060,Customer 3060,Segment B,Country B,City A
3061,Customer 3061,Segment B,Country A,City E
3062,Customer 3062,Segment C,Country C,City E
3063,Customer 3063,Segment A,Country C,City D
3064,Customer 3064,Segment B,Country A,City C
3065,Customer 3065,Segment C,Country A,City D
3066,Customer 3066,Segment B,Country A,City B
3067,Customer 3067,Segment A,Country C,City D
3068,Customer 3068,Segment B,Country B,City E
3069,Customer 3069,Segment C,Country B,City D
3070,Customer 3070,Segment B,Country C,City B
3071,Customer 3071,Segment A,Country B,City E
3072,Customer 3072,Segment B,Country A,City B
3073,Customer 3073,Segment B,Country B,City D
3074,Customer 3074,Segment C,Country C,City B
3075,Customer 3075,Segment C,Country A,City C
3076,Customer 3076,Segment C,Country A,City A
3077,Customer 3077,Segment A,Country C,City C
3078,Customer 3078,Segment C,Country C,City E
3079,Customer 3079,Segment C,Country A,City A
3080,Customer 3080,Segment B,Country B,City E
3081,Customer 3081,Segment C,Country C,City D
3082,Customer 3082,Segment C,Country B,City D
3083,Customer 3083,Segment A,Country A,City E
3084,Customer 3084,Segment B,Country A,City D
3085,Customer 3085,Segment B,Country A,City D
3086,Customer 3086,Segment C,Country A,City A
3087,Customer 3087,Segment C,Country A,City D
3088,Customer 3088,Segment B,Country A,City A
3089,Customer 3089,Segment C,Country A,City A
3090,Customer 3090,Segment A,Country C,City B
3091,Customer 3091,Segment B,Country A,City D
3092,Customer 3092,Segment C,Country A,City B
3093,Customer 3093,Segment A,Country B,City E
3094,Customer 3094,Segment A,Country A,City B
3095,Customer 3095,Segment A,Country A,City D
3096,Customer 3096,Segment B,Country A,City E
3097,Customer 3097,Segment A,Country B,City B
3098,Customer 3098,Segment C,Country B,City A
3099,Customer 3099,Segment B,Country B,City A
3100,Customer 3100,Segment B,Country B,City D
3101,Customer 3101,Segment A,Country A,City D
3102,Customer 3102,Segment A,Country B,City A
3103,Customer 3103,Segment C,Country A,City E
3104,Customer 3104,Segment C,Country C,City D
3105,Customer 3105,Segment B,Country C,City A
3106,Customer 3106,Segment C,Country B,City A
3107,Customer 3107,Segment C,Country C,City B
3108,Customer 3108,Segment B,Country A,City A
3109,Customer 3109,Segment B,Country A,City D
3110,Customer 3110,Segment B,Country B,City E
3111,Customer 3111,Segment B,Country C,City E
3112,Customer 3112,Segment C,Country B,City C
3113,Customer 3113,Segment C,Country A,City C
3114,Customer 3114,Segment B,Country B,City E
3115,Customer 3115,Segment B,Country B,City C
3116,Customer 3116,Segment B,Country B,City B
3117,Customer 3117,Segment B,Country C,City E
3118,Customer 3118,Segment B,Country A,City C
3119,Customer 3119,Segment A,Country B,City B
3120,Customer 3120,Segment C,Country B,City C
3121,Customer 3121,Segment A,Country C,City B
3122,Customer 3122,Segment B,Country A,City A
3123,Customer 3123,Segment B,Country C,City B
3124,Customer 3124,Segment C,Country A,City B
3125,Customer 3125,Segment B,Country A,City E
3126,Customer 3126,Segment B,Country A,City C
3127,Customer 3127,Segment B,Country A,City E
3128,Customer 3128,Segment B,Country C,City C
3129,Customer 3129,Segment C,Country A,City C
3130,Customer 3130,Segment A,Country A,City C
3131,Customer 3131,Segment C,Country B,City E
3132,Customer 3132,Segment C,Country A,City D
3133,Customer 3133,Segment A,Country A,City A
3134,Customer 3134,Segment A,Country A,City E
3135,Customer 3135,Segment C,Country C,City B
3136,Customer 3136,Segment B,Country A,City A
3137,Customer 3137,Segment B,Country C,City E
3138,Customer 3138,Segment B,Country B,City E
3139,Customer 3139,Segment A,Country C,City D
3140,Customer 3140,Segment A,Country A,City A
3141,Customer 3141,Segment B,Country C,City A
3142,Customer 3142,Segment B,Country A,City D
3143,Customer 3143,Segment B,Country C,City E
3144,Customer 3144,Segment A,Country B,City C
3145,Customer 3145,Segment A,Country C,City B
3146,Customer 3146,Segment B,Country B,City A
3147,Customer 3147,Segment B,Country C,City A
3148,Customer 3148,Segment B,Country B,City A
3149,Customer 3149,Segment C,Country B,City A
3150,Customer 3150,Segment C,Country A,City A
3151,Customer 3151,Segment C,Country A,City B
3152,Customer 3152,Segment A,Country C,City B
3153,Customer 3153,Segment B,Country C,City A
3154,Customer 3154,Segment B,Country C,City E
3155,Customer 3155,Segment B,Country B,City D
3156,Customer 3156,Segment C,Country B,City B
3157,Customer 3157,Segment A,Country A,City E
3158,Customer 3158,Segment C,Country A,City A
3159,Customer 3159,Segment B,Country A,City B
3160,Customer 3160,Segment B,Country A,City C
3161,Customer 3161,Segment A,Country B,City A
3162,Customer 3162,Segment B,Country B,City D
3163,Customer 3163,Segment A,Country C,City C
3164,Customer 3164,Segment C,Country C,City C
3165,Customer 3165,Segment C,Country A,City D
3166,Customer 3166,Segment C,Country C,City D
3167,Customer 3167,Segment A,Country C,City B
3168,Customer 3168,Segment B,Country A,City C
3169,Customer 3169,Segment A,Country B,City B
3170,Customer 3170,Segment A,Country B,City E
3171,Customer 3171,Segment B,Country B,City A
3172,Customer 3172,Segment B,Country B,City D
3173,Customer 3173,Segment C,Country C,City E
3174,Customer 3174,Segment B,Country B,City B
3175,Customer 3175,Segment B,Country C,City D
3176,Customer 3176,Segment C,Country A,City C
3177,Customer 3177,Segment C,Country A,City B
3178,Customer 3178,Segment C,Country B,City A
3179,Customer 3179,Segment C,Country A,City C
3180,Customer 3180,Segment A,Country B,City A
3181,Customer 3181,Segment C,Country C,City E
3182,Customer 3182,Segment A,Country B,City B
3183,Customer 3183,Segment A,Country A,City D
3184,Customer 3184,Segment A,Country C,City C
3185,Customer 3185,Segment A,Country B,City E
3186,Customer 3186,Segment B,Country C,City E
3187,Customer 3187,Segment B,Country C,City C
3188,Customer 3188,Segment A,Country B,City C
3189,Customer 3189,Segment C,Country A,City B
3190,Customer 3190,Segment B,Country A,City B
3191,Customer 3191,Segment A,Country C,City C
3192,Customer 3192,Segment C,Country C,City E
3193,Customer 3193,Segment B,Country C,City B
3194,Customer 3194,Segment A,Country C,City D
3195,Customer 3195,Segment C,Country A,City D
3196,Customer 3196,Segment A,Country C,City B
3197,Customer 3197,Segment B,Country A,City A
3198,Customer 3198,Segment A,Country B,City E
3199,Customer 3199,Segment B,Country A,City C
3200,Customer 3200,Segment B,Country C,City D
3201,Customer 3201,Segment B,Country A,City A
3202,Customer 3202,Segment C,Country B,City A
3203,Customer 3203,Segment A,Country A,City A
3204,Customer 3204,Segment B,Country A,City D
3205,Customer 3205,Segment C,Country B,City C
3206,Customer 3206,Segment C,Country B,City A
3207,Customer 3207,Segment C,Country B,City C
3208,Customer 3208,Segment A,Country B,City E
3209,Customer 3209,Segment C,Country C,City A
3210,Customer 3210,Segment C,Country C,City A
3211,Customer 3211,Segment C,Country A,City A
3212,Customer 3212,Segment C,Country C,City A
3213,Customer 3213,Segment C,Country B,City A
3214,Customer 3214,Segment B,Country C,City D
3215,Customer 3215,Segment A,Country A,City A
3216,Customer 3216,Segment B,Country C,City B
3217,Customer 3217,Segment A,Country A,City C
3218,Customer 3218,Segment B,Country C,City B
3219,Customer 3219,Segment B,Country A,City C
3220,Customer 3220,Segment A,Country B,City D
3221,Customer 3221,Segment A,Country A,City C
3222,Customer 3222,Segment A,Country C,City D
3223,Customer 3223,Segment B,Country B,City D
3224,Customer 3224,Segment B,Country A,City E
3225,Customer 3225,Segment C,Country B,City C
3226,Customer 3226,Segment C,Country A,City A
3227,Customer 3227,Segment A,Country B,City A
3228,Customer 3228,Segment C,Country B,City C
3229,Customer 3229,Segment C,Country A,City C
3230,Customer 3230,Segment A,Country A,City D
3231,Customer 3231,Segment B,Country B,City C
3232,Customer 3232,Segment B,Country A,City C
3233,Customer 3233,Segment B,Country A,City C
3234,Customer 3234,Segment C,Country A,City C
3235,Customer 3235,Segment A,Country C,City A
3236,Customer 3236,Segment B,Country A,City B
3237,Customer 3237,Segment C,Country B,City A
3238,Customer 3238,Segment A,Country A,City C
3239,Customer 3239,Segment A,Country A,City B
3240,Customer 3240,Segment A,Country B,City E
3241,Customer 3241,Segment A,Country B,City E
3242,Customer 3242,Segment A,Country A,City C
3243,Customer 3243,Segment B,Country B,City C
3244,Customer 3244,Segment B,Country A,City A
3245,Customer 3245,Segment A,Country A,City C
3246,Customer 3246,Segment B,Country A,City E
3247,Customer 3247,Segment B,Country B,City A
3248,Customer 3248,Segment C,Country B,City C
3249,Customer 3249,Segment A,Country B,City B
3250,Customer 3250,Segment C,Country A,City C
3251,Customer 3251,Segment B,Country C,City D
3252,Customer 3252,Segment A,Country A,City D
3253,Customer 3253,Segment C,Country A,City A
3254,Customer 3254,Segment B,Country B,City A
3255,Customer 3255,Segment C,Country A,City D
3256,Customer 3256,Segment C,Country C,City C
3257,Customer 3257,Segment C,Country A,City B
3258,Customer 3258,Segment A,Country C,City B
3259,Customer 3259,Segment A,Country A,City C
3260,Customer 3260,Segment A,Country B,City C
3261,Customer 3261,Segment B,Country B,City E
3262,Customer 3262,Segment B,Country B,City A
3263,Customer 3263,Segment A,Country A,City D
3264,Customer 3264,Segment C,Country C,City E
3265,Customer 3265,Segment A,Country B,City C
3266,Customer 3266,Segment A,Country C,City C
3267,Customer 3267,Segment A,Country C,City B
3268,Customer 3268,Segment A,Country C,City E
3269,Customer 3269,Segment A,Country A,City E
3270,Customer 3270,Segment B,Country A,City A
3271,Customer 3271,Segment A,Country B,City C
3272,Customer 3272,Segment C,Country C,City B
3273,Customer 3273,Segment A,Country A,City A
3274,Customer 3274,Segment C,Country B,City E
3275,Customer 3275,Segment A,Country B,City D
3276,Customer 3276,Segment C,Country C,City E
3277,Customer 3277,Segment A,Country B,City E
3278,Customer 3278,Segment B,Country A,City A
3279,Customer 3279,Segment A,Country C,City C
3280,Customer 3280,Segment B,Country C,City B
3281,Customer 3281,Segment C,Country C,City E
3282,Customer 3282,Segment C,Country B,City E
3283,Customer 3283,Segment A,Country C,City B
3284,Customer 3284,Segment C,Country C,City C
3285,Customer 3285,Segment B,Country A,City B
3286,Customer 3286,Segment A,Country C,City D
3287,Customer 3287,Segment C,Country C,City E
3288,Customer 3288,Segment A,Country C,City B
3289,Customer 3289,Segment B,Country A,City B
3290,Customer 3290,Segment C,Country B,City C
3291,Customer 3291,Segment A,Country B,City A
3292,Customer 3292,Segment C,Country A,City C
3293,Customer 3293,Segment C,Country B,City C
3294,Customer 3294,Segment C,Country C,City D
3295,Customer 3295,Segment C,Country C,City C
3296,Customer 3296,Segment C,Country B,City A
3297,Customer 3297,Segment C,Country A,City D
